TANG	11.85	0.119
DAUGHERTY	11.86	0.237
TRAVIS	11.86	0.356
ODOM	11.87	0.474
DUKE	11.88	0.593
ROLLINS	11.91	0.712
ROWLAND	11.91	0.831
WHITNEY	11.91	0.951
HENDRIX	11.93	1.070
MAYO	11.94	1.189
BRANCH	11.94	1.309
REYNA	11.96	1.428
CANTRELL	11.96	1.548
DICKSON	11.97	1.668
JARVIS	11.98	1.787
MCCANN	12	1.907
TERRELL	12	2.027
MADDEN	12.01	2.147
NOVAK	12.02	2.268
GOOD	12.02	2.388
HINTON	12.07	2.509
HESTER	12.08	2.629
PROCTOR	12.08	2.750
LU	12.08	2.871
ALFARO	12.11	2.992
POLLARD	12.12	3.113
DUDLEY	12.13	3.235
SIERRA	12.13	3.356
COMPTON	12.15	3.477
CHERRY	12.16	3.599
LEAL	12.19	3.721
STANTON	12.2	3.843
SCHMITT	12.22	3.965
CHURCH	12.23	4.087
SPENCE	12.25	4.210
MCPHERSON	12.25	4.332
VU	12.26	4.455
ANDERSEN	12.26	4.578
OCONNELL	12.27	4.700
VO	12.28	4.823
MADDOX	12.29	4.946
BURCH	12.3	5.069
ESTES	12.31	5.192
SANFORD	12.31	5.315
GALINDO	12.35	5.439
COFFEY	12.35	5.562
FAULKNER	12.36	5.686
MAYNARD	12.36	5.809
DONALDSON	12.39	5.933
STUART	12.39	6.057
PERALTA	12.4	6.181
BRANDT	12.41	6.305
RASMUSSEN	12.42	6.429
PARRA	12.46	6.554
WOODWARD	12.46	6.679
JARAMILLO	12.46	6.803
KRUEGER	12.46	6.928
WALLER	12.48	7.053
BOOKER	12.49	7.178
MCCARTY	12.52	7.303
AVALOS	12.52	7.428
FRYE	12.53	7.553
SHEPPARD	12.53	7.679
LIM	12.55	7.804
RICHMOND	12.56	7.930
MOYER	12.56	8.055
HUBER	12.6	8.181
LEVY	12.62	8.307
CANO	12.67	8.434
HAYDEN	12.7	8.561
MULLEN	12.71	8.688
XIONG	12.71	8.815
ESQUIVEL	12.74	8.943
BEAN	12.74	9.070
DODSON	12.74	9.198
LYNN	12.76	9.325
FINLEY	12.77	9.453
QUINTANA	12.77	9.581
BLANCHARD	12.78	9.708
HORNE	12.78	9.836
VILLALOBOS	12.8	9.964
HALEY	12.83	10.092
PHAN	12.83	10.221
PORTILLO	12.84	10.349
DOUGHERTY	12.84	10.478
CRANE	12.84	10.606
BENTON	12.85	10.734
LUGO	12.85	10.863
DELAROSA	12.86	10.992
BEST	12.86	11.120
FRY	12.89	11.249
CLEMENTS	12.9	11.378
NIXON	12.93	11.507
CORREA	12.96	11.637
BLEVINS	12.96	11.767
TRUONG	12.97	11.896
COSTA	12.97	12.026
POTTS	12.98	12.156
FRIEDMAN	13.01	12.286
ASHLEY	13.05	12.416
FARLEY	13.06	12.547
BERNARD	13.06	12.678
MCKAY	13.11	12.809
ESPINOSA	13.11	12.940
RIVERS	13.11	13.071
HERRING	13.13	13.202
VAUGHAN	13.16	13.334
DUFFY	13.17	13.465
GOULD	13.2	13.597
DUNLAP	13.24	13.730
BLACKBURN	13.25	13.862
MAGANA	13.26	13.995
MOSES	13.29	14.128
SAMPSON	13.32	14.261
CASE	13.33	14.394
LANDRY	13.35	14.528
MCMAHON	13.36	14.661
SHEPARD	13.37	14.795
AVERY	13.41	14.929
PUGH	13.41	15.063
MAYER	13.41	15.197
BENDER	13.41	15.332
EVERETT	13.42	15.466
VENTURA	13.42	15.600
AYERS	13.43	15.734
NAVA	13.45	15.869
BERNAL	13.46	16.003
MCCONNELL	13.48	16.138
RUSH	13.49	16.273
HURLEY	13.49	16.408
HARDING	13.49	16.543
HANNA	13.52	16.678
PACE	13.52	16.813
BOYLE	13.53	16.949
LUCERO	13.56	17.084
PECK	13.58	17.220
FELIX	13.62	17.356
SMALL	13.63	17.492
BENTLEY	13.63	17.629
MCMILLAN	13.64	17.765
RAYMOND	13.65	17.902
MEDRANO	13.65	18.038
HAHN	13.65	18.175
MAHONEY	13.69	18.312
VALENTINE	13.69	18.448
DONOVAN	13.7	18.585
MAYS	13.7	18.722
FITZPATRICK	13.71	18.860
CROSBY	13.75	18.997
GILES	13.76	19.135
BENJAMIN	13.76	19.272
CONRAD	13.8	19.410
MICHAEL	13.81	19.548
PENNINGTON	13.85	19.687
REILLY	13.86	19.825
HOUSE	13.9	19.964
WALLS	13.91	20.104
TREJO	13.91	20.243
SCHAEFER	13.92	20.382
RANDOLPH	13.94	20.521
HICKMAN	13.95	20.661
QUINTERO	13.95	20.800
HEBERT	13.99	20.940
ENRIQUEZ	13.99	21.080
MCFARLAND	14	21.220
BUCKLEY	14.02	21.360
FREDERICK	14.03	21.501
WEEKS	14.09	21.641
CORONA	14.09	21.782
SPEARS	14.12	21.924
NOBLE	14.13	22.065
BRAVO	14.14	22.206
HERMAN	14.15	22.348
STARK	14.15	22.489
MORSE	14.16	22.631
KNAPP	14.16	22.772
GLASS	14.17	22.914
FROST	14.24	23.057
LIVINGSTON	14.27	23.199
HOWE	14.33	23.343
MCINTOSH	14.37	23.486
HARDIN	14.4	23.630
BRADSHAW	14.4	23.774
MIDDLETON	14.43	23.919
SELLERS	14.43	24.063
LEBLANC	14.43	24.207
ESPARZA	14.43	24.351
BUCK	14.45	24.496
GILLESPIE	14.47	24.641
NIELSEN	14.5	24.786
ELLISON	14.52	24.931
DUARTE	14.57	25.077
HULL	14.58	25.222
GENTRY	14.59	25.368
CHUNG	14.61	25.514
SEXTON	14.62	25.661
HENDRICKS	14.64	25.807
CALHOUN	14.64	25.953
LOWERY	14.67	26.100
SLOAN	14.67	26.247
MCLEAN	14.67	26.393
STOUT	14.68	26.540
BROWNING	14.69	26.687
STEIN	14.71	26.834
ODONNELL	14.73	26.982
MCCALL	14.74	27.129
DURHAM	14.79	27.277
DORSEY	14.79	27.425
BARTLETT	14.8	27.573
CUEVAS	14.81	27.721
PALACIOS	14.85	27.869
MCINTYRE	14.86	28.018
BLANKENSHIP	14.86	28.167
GAINES	14.86	28.315
BERGER	14.87	28.464
MARIN	14.88	28.613
DAVID	14.93	28.762
DEJESUS	14.93	28.911
MCKEE	14.96	29.061
BARR	14.96	29.210
CONWAY	15.02	29.361
KENT	15.03	29.511
WHITEHEAD	15.04	29.661
PRUITT	15.04	29.812
DAVILA	15.05	29.962
ORR	15.05	30.113
MEADOWS	15.09	30.264
LEACH	15.11	30.415
KERR	15.16	30.566
KNOX	15.17	30.718
BULLOCK	15.17	30.870
LESTER	15.18	31.022
JACOBSON	15.19	31.173
ROSAS	15.23	31.326
WINTERS	15.23	31.478
ROACH	15.26	31.631
BARAJAS	15.31	31.784
CORDOVA	15.36	31.937
KLINE	15.39	32.091
STRONG	15.4	32.245
SALGADO	15.41	32.399
MOON	15.43	32.554
MURILLO	15.44	32.708
MERRITT	15.46	32.863
MCCULLOUGH	15.54	33.018
NOLAN	15.61	33.174
SHANNON	15.64	33.331
KEMP	15.64	33.487
CORTES	15.67	33.644
HURST	15.68	33.800
WOODARD	15.68	33.957
STAFFORD	15.73	34.115
ENGLISH	15.73	34.272
GUEVARA	15.75	34.429
SOLOMON	15.78	34.587
MACDONALD	15.84	34.746
BLACKWELL	15.99	34.905
DYER	15.99	35.065
PRINCE	15.99	35.225
EATON	16	35.385
JOHNS	16.02	35.545
BARRY	16.03	35.706
VANCE	16.04	35.866
PRESTON	16.06	36.027
HUERTA	16.09	36.188
SNOW	16.11	36.349
STEPHENSON	16.15	36.510
BEASLEY	16.17	36.672
MCCLURE	16.18	36.834
MOSLEY	16.26	36.996
ONEAL	16.27	37.159
VANG	16.28	37.322
WALTER	16.28	37.485
HENSON	16.28	37.647
ROSARIO	16.29	37.810
MATA	16.31	37.973
MONTES	16.32	38.137
MCCLAIN	16.33	38.300
BEARD	16.34	38.463
AHMED	16.38	38.627
WILKERSON	16.42	38.791
KEITH	16.44	38.956
HOBBS	16.45	39.120
VILLEGAS	16.48	39.285
RUSSO	16.51	39.450
WILEY	16.52	39.615
GILMORE	16.52	39.781
KAUR	16.53	39.946
BERG	16.53	40.111
HUTCHINSON	16.54	40.277
TANNER	16.55	40.442
CLAY	16.56	40.608
BAXTER	16.62	40.774
SAWYER	16.62	40.940
HUMPHREY	16.63	41.106
CANTU	16.65	41.273
MARKS	16.67	41.440
MCDOWELL	16.68	41.606
BRENNAN	16.69	41.773
WARE	16.72	41.940
GOLDEN	16.73	42.108
BOOTH	16.75	42.275
KOCH	16.75	42.443
RICH	16.77	42.610
PONCE	16.8	42.778
PITTS	16.86	42.947
PARRISH	16.86	43.116
BELTRAN	16.87	43.284
HO	16.89	43.453
SAVAGE	16.92	43.622
ONEILL	16.96	43.792
MELTON	16.97	43.962
ARELLANO	16.99	44.132
WIGGINS	17.03	44.302
GRIMES	17.03	44.472
CLINE	17.04	44.643
DILLON	17.11	44.814
CALLAHAN	17.13	44.985
HANCOCK	17.14	45.156
KANE	17.15	45.328
ARROYO	17.16	45.500
BOND	17.16	45.671
GARRISON	17.18	45.843
BOYER	17.2	46.015
RUBIO	17.22	46.187
CHOI	17.22	46.359
HUFFMAN	17.22	46.532
HARRELL	17.23	46.704
SHIELDS	17.23	46.876
CISNEROS	17.26	47.049
GLENN	17.3	47.222
HENSLEY	17.32	47.395
ZAVALA	17.34	47.568
BENITEZ	17.39	47.742
ACEVEDO	17.41	47.916
BONILLA	17.45	48.091
MATHEWS	17.49	48.266
ATKINS	17.52	48.441
FOLEY	17.58	48.617
DICKERSON	17.59	48.793
HEATH	17.59	48.969
PHELPS	17.64	49.145
YU	17.64	49.321
BARRON	17.65	49.498
HORN	17.68	49.675
DALTON	17.69	49.852
WYATT	17.7	50.029
FARRELL	17.74	50.206
SWEENEY	17.77	50.384
SOSA	17.78	50.561
CHASE	17.79	50.739
GATES	17.82	50.918
TAPIA	17.85	51.096
ALLISON	17.87	51.275
ABBOTT	17.88	51.454
VILLA	17.91	51.633
HODGE	17.94	51.812
YORK	17.99	51.992
VINCENT	18	52.172
ROY	18.02	52.352
MEZA	18.05	52.533
VELEZ	18.06	52.713
ATKINSON	18.09	52.894
BRUCE	18.11	53.075
BRIDGES	18.2	53.257
WILKINSON	18.22	53.439
KIRBY	18.23	53.622
WALL	18.24	53.804
BOONE	18.24	53.987
GALVAN	18.25	54.169
RICHARD	18.27	54.352
BRADFORD	18.31	54.535
SKINNER	18.32	54.718
CHRISTIAN	18.37	54.902
MATHIS	18.38	55.086
COMBS	18.39	55.269
KIRK	18.44	55.454
SINGLETON	18.52	55.639
RANDALL	18.57	55.825
HUYNH	18.64	56.011
PITTMAN	18.65	56.198
ANTHONY	18.68	56.384
MONROE	18.69	56.571
HOOD	18.7	56.758
JEFFERSON	18.71	56.945
ROCHA	18.73	57.133
CAMERON	18.73	57.320
HUFF	18.81	57.508
LAM	18.83	57.696
MASSEY	18.85	57.885
COPELAND	18.93	58.074
DAVENPORT	18.95	58.264
CONLEY	18.96	58.453
LARSEN	18.97	58.643
ROBERSON	19.05	58.834
MELENDEZ	19.06	59.024
POOLE	19.06	59.215
WILCOX	19.08	59.406
CAREY	19.09	59.596
ZUNIGA	19.1	59.787
COLLIER	19.11	59.979
YODER	19.12	60.170
DECKER	19.18	60.362
WHITAKER	19.19	60.553
CLAYTON	19.2	60.745
MORROW	19.27	60.938
CARSON	19.28	61.131
HOUSTON	19.29	61.324
SUMMERS	19.31	61.517
