ADAH	0.001	0.001
ADAM	0.001	0.002
ADENA	0.001	0.003
ADRIEN	0.001	0.004
AGNUS	0.001	0.005
AGRIPINA	0.001	0.006
AGUEDA	0.001	0.007
AI	0.001	0.008
AIDE	0.001	0.009
AIKO	0.001	0.010
AILENE	0.001	0.011
AKILAH	0.001	0.012
ALAINE	0.001	0.013
ALANE	0.001	0.014
ALAYNA	0.001	0.015
ALBERT	0.001	0.016
ALEASE	0.001	0.017
ALEEN	0.001	0.018
ALEISHA	0.001	0.019
ALESHIA	0.001	0.020
ALESSANDRA	0.001	0.021
ALFREDIA	0.001	0.022
ALITA	0.001	0.023
ALLEEN	0.001	0.024
ALLENA	0.001	0.025
ALLYN	0.001	0.026
ALONA	0.001	0.027
ALVERTA	0.001	0.028
ALYSA	0.001	0.029
AMAL	0.001	0.030
AMBERLY	0.001	0.031
AMEE	0.001	0.032
AMIEE	0.001	0.033
AMIRA	0.001	0.034
AN	0.001	0.035
ANALISA	0.001	0.036
ANAMARIA	0.001	0.037
ANDERA	0.001	0.038
ANGELYN	0.001	0.039
ANGILA	0.001	0.040
ANGLA	0.001	0.041
ANISA	0.001	0.042
ANISHA	0.001	0.043
ANJA	0.001	0.044
ANJELICA	0.001	0.045
ANNAMARIA	0.001	0.046
ANNELLE	0.001	0.047
ANNIKA	0.001	0.048
ANNITA	0.001	0.049
ANTONETTA	0.001	0.050
APOLONIA	0.001	0.051
ARA	0.001	0.052
ARDATH	0.001	0.053
ARDELIA	0.001	0.054
ARDELLE	0.001	0.055
ARGELIA	0.001	0.056
ARGENTINA	0.001	0.057
ARIANNE	0.001	0.058
ARICA	0.001	0.059
ARLEAN	0.001	0.060
ARLETHA	0.001	0.061
ARLINDA	0.001	0.062
ARLYNE	0.001	0.063
ARMANDINA	0.001	0.064
ARNETTE	0.001	0.065
ASHANTI	0.001	0.066
ASHLEA	0.001	0.067
ASLEY	0.001	0.068
AUDRIA	0.001	0.069
AUDRIE	0.001	0.070
AURORE	0.001	0.071
AUSTIN	0.001	0.072
AVERY	0.001	0.073
AVRIL	0.001	0.074
AYAKO	0.001	0.075
AZALEE	0.001	0.076
AZZIE	0.001	0.077
BAO	0.001	0.078
BARABARA	0.001	0.079
BARI	0.001	0.080
BARRIE	0.001	0.081
BASILIA	0.001	0.082
BEATA	0.001	0.083
BEATRIS	0.001	0.084
BEAULAH	0.001	0.085
BEBE	0.001	0.086
BECKI	0.001	0.087
BEE	0.001	0.088
BELKIS	0.001	0.089
BELL	0.001	0.090
BERNA	0.001	0.091
BERNARDA	0.001	0.092
BERNARDINA	0.001	0.093
BERNARDINE	0.001	0.094
BERRY	0.001	0.095
BETHANIE	0.001	0.096
BETTYANN	0.001	0.097
BEULA	0.001	0.098
BIBI	0.001	0.099
BILLI	0.001	0.100
BLAKE	0.001	0.101
BLONDELL	0.001	0.102
BLOSSOM	0.001	0.103
BOBETTE	0.001	0.104
BOK	0.001	0.105
BONG	0.001	0.106
BRANDE	0.001	0.107
BREANA	0.001	0.108
BREANN	0.001	0.109
BRETT	0.001	0.110
BRIAN	0.001	0.111
BRITTA	0.001	0.112
BRITTANEY	0.001	0.113
BRITTANIE	0.001	0.114
BRITTENY	0.001	0.115
BRITTNY	0.001	0.116
BRUNA	0.001	0.117
BRYANNA	0.001	0.118
BUENA	0.001	0.119
BULA	0.001	0.120
BULAH	0.001	0.121
BUNNY	0.001	0.122
BURMA	0.001	0.123
CALANDRA	0.001	0.124
CALISTA	0.001	0.125
CAMELLIA	0.001	0.126
CAMIE	0.001	0.127
CAMILA	0.001	0.128
CAMMY	0.001	0.129
CANDRA	0.001	0.130
CARITA	0.001	0.131
CARLEE	0.001	0.132
CARLENA	0.001	0.133
CARLI	0.001	0.134
CARLITA	0.001	0.135
CARLOS	0.001	0.136
CARMELIA	0.001	0.137
CARMINA	0.001	0.138
CAROLA	0.001	0.139
CAROLIN	0.001	0.140
CAROLL	0.001	0.141
CAROYLN	0.001	0.142
CARRY	0.001	0.143
CARYLON	0.001	0.144
CASIMIRA	0.001	0.145
CASSAUNDRA	0.001	0.146
CASSEY	0.001	0.147
CASSI	0.001	0.148
CASSONDRA	0.001	0.149
CASSY	0.001	0.150
CATHERIN	0.001	0.151
CATHERINA	0.001	0.152
CATHERN	0.001	0.153
CATHERYN	0.001	0.154
CATRICE	0.001	0.155
CAYLA	0.001	0.156
CECILLE	0.001	0.157
CELESTA	0.001	0.158
CELINDA	0.001	0.159
CELSA	0.001	0.160
CEOLA	0.001	0.161
CHAE	0.001	0.162
CHAN	0.001	0.163
CHANELL	0.001	0.164
CHANELLE	0.001	0.165
CHANG	0.001	0.166
CHANTAY	0.001	0.167
CHARA	0.001	0.168
CHARIS	0.001	0.169
CHARITA	0.001	0.170
CHARLENA	0.001	0.171
CHARLESETTA	0.001	0.172
CHARLOTT	0.001	0.173
CHARLSIE	0.001	0.174
CHARLYN	0.001	0.175
CHARMAIN	0.001	0.176
CHASIDY	0.001	0.177
CHASSIDY	0.001	0.178
CHER	0.001	0.179
CHERE	0.001	0.180
CHEREE	0.001	0.181
CHERELLE	0.001	0.182
CHERILYN	0.001	0.183
CHERLYN	0.001	0.184
CHERY	0.001	0.185
CHIA	0.001	0.186
CHIEKO	0.001	0.187
CHINA	0.001	0.188
CHING	0.001	0.189
CHRISTIA	0.001	0.190
CHRISTINIA	0.001	0.191
CHU	0.001	0.192
CINDERELLA	0.001	0.193
CINDIE	0.001	0.194
CIRA	0.001	0.195
CLARENCE	0.001	0.196
CLARETHA	0.001	0.197
CLARETTA	0.001	0.198
CLARINDA	0.001	0.199
CLARIS	0.001	0.200
CLARISA	0.001	0.201
CLASSIE	0.001	0.202
CLAUDE	0.001	0.203
CLAUDIE	0.001	0.204
CLELIA	0.001	0.205
CLEMENCIA	0.001	0.206
CLEOTILDE	0.001	0.207
CLORA	0.001	0.208
CLORINDA	0.001	0.209
CODI	0.001	0.210
COLBY	0.001	0.211
COLENE	0.001	0.212
COLLENE	0.001	0.213
CONCEPTION	0.001	0.214
CONCHA	0.001	0.215
CONTESSA	0.001	0.216
CORALEE	0.001	0.217
CORALIE	0.001	0.218
CORDIA	0.001	0.219
CORRIN	0.001	0.220
CORRINNE	0.001	0.221
CREOLA	0.001	0.222
CRIS	0.001	0.223
CRYSTA	0.001	0.224
CRYSTLE	0.001	0.225
CUC	0.001	0.226
CURTIS	0.001	0.227
CYNDY	0.001	0.228
CYRSTAL	0.001	0.229
DACIA	0.001	0.230
DAGNY	0.001	0.231
DAINA	0.001	0.232
DAINE	0.001	0.233
DAKOTA	0.001	0.234
DALENE	0.001	0.235
DAN	0.001	0.236
DANIELL	0.001	0.237
DANILLE	0.001	0.238
DANN	0.001	0.239
DANNIE	0.001	0.240
DANYEL	0.001	0.241
DANYELL	0.001	0.242
DARCEL	0.001	0.243
DARCEY	0.001	0.244
DARLENA	0.001	0.245
DAYSI	0.001	0.246
DEADRA	0.001	0.247
DEANDREA	0.001	0.248
DEBERA	0.001	0.249
DEDE	0.001	0.250
DEEANNA	0.001	0.251
DEEDEE	0.001	0.252
DEEDRA	0.001	0.253
DEETTA	0.001	0.254
DEJA	0.001	0.255
DELAINE	0.001	0.256
DELCIE	0.001	0.257
DELILA	0.001	0.258
DELMY	0.001	0.259
DELOISE	0.001	0.260
DELORAS	0.001	0.261
DELORSE	0.001	0.262
DELSIE	0.001	0.263
DEMETRIUS	0.001	0.264
DENAE	0.001	0.265
DENISSE	0.001	0.266
DENNY	0.001	0.267
DENYSE	0.001	0.268
DEON	0.001	0.269
DEONNA	0.001	0.270
DESPINA	0.001	0.271
DIA	0.001	0.272
DIERDRE	0.001	0.273
DINORAH	0.001	0.274
DION	0.001	0.275
DIVINA	0.001	0.276
DODIE	0.001	0.277
DOMINICA	0.001	0.278
DOMITILA	0.001	0.279
DONELLA	0.001	0.280
DONETTE	0.001	0.281
DONG	0.001	0.282
DONNETTA	0.001	0.283
DONNETTE	0.001	0.284
DOREATHA	0.001	0.285
DORETHEA	0.001	0.286
DORETTA	0.001	0.287
DORIA	0.001	0.288
DORLA	0.001	0.289
DORTHEY	0.001	0.290
DOTTY	0.001	0.291
DREW	0.001	0.292
DULCIE	0.001	0.293
DUSTI	0.001	0.294
DWANA	0.001	0.295
EARLIE	0.001	0.296
EBONIE	0.001	0.297
EDRA	0.001	0.298
EDRIS	0.001	0.299
EDYTH	0.001	0.300
EHTEL	0.001	0.301
EILENE	0.001	0.302
ELA	0.001	0.303
ELADIA	0.001	0.304
ELANE	0.001	0.305
ELENE	0.001	0.306
ELENORE	0.001	0.307
ELEONOR	0.001	0.308
ELEONORA	0.001	0.309
ELEONORE	0.001	0.310
ELFREDA	0.001	0.311
ELFRIEDA	0.001	0.312
ELIDIA	0.001	0.313
ELIN	0.001	0.314
ELINA	0.001	0.315
ELINORE	0.001	0.316
ELIZ	0.001	0.317
ELIZABET	0.001	0.318
ELLAMAE	0.001	0.319
ELLAN	0.001	0.320
ELLENA	0.001	0.321
ELLI	0.001	0.322
ELLIS	0.001	0.323
ELMER	0.001	0.324
ELSY	0.001	0.325
ELWANDA	0.001	0.326
ELZA	0.001	0.327
EMELINA	0.001	0.328
EMELINE	0.001	0.329
EMELY	0.001	0.330
EMERALD	0.001	0.331
EMERITA	0.001	0.332
EMMALINE	0.001	0.333
ENDA	0.001	0.334
ERYN	0.001	0.335
ESTEFANA	0.001	0.336
ETHA	0.001	0.337
ETSUKO	0.001	0.338
ETTIE	0.001	0.339
